product_id,product_name,manufacturer,category,ingredients,active_amount,dosage,cautions,contraindications,age_restriction,pregnancy_safe,interactions,dur_tags,storage,price_range,source,source_date,reliability,status,created_at,updated_at,updated_by,recommend_flag
SUP-0001,-고려은단비타민C 300T,고려은단,비타민,아스코르브산;비타민B2,비타민C 500mg,"1일 1~2회, 1정",대용량 포장(300정),옥살산뇨증,,안전,와파린,중복성분주의,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0002,효모아연셀렌크롬,비타민하우스,미네랄,글루콘산아연,아연 25mg,"1일 1회, 1정",공복 시 속쓰림,,,안전,항생제;철분제,중복성분주의,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0003,스파톤애플+레드마임,네이쳐스팜,미네랄,철분(천연 미네랄워터 유래);비타민C,철 5mg,1일 1포,천연 철분;위장장애 적음,철분 과다증,,안전,칼슘제,,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0004,아연25,그린스토어,미네랄,글루콘산아연,아연 25mg,"1일 1회, 1정",공복 시 속쓰림,,,안전,항생제;철분제,중복성분주의,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0005,Vitamin B complex 100,(주)그린스토어,비타민,비타민B1;비타민B2;비타민B6;비타민B12;나이아신;엽산;비오틴;판토텐산,비타민B군 각 100mg,"1일 1회, 1정, 식후",고함량 B군;소변 노랗게 변할 수 있음,,,주의,레보도파;항경련제,,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0006,마이크로바이옴 프로바이오틱스 5세대,마더스팜,프로바이오틱스,락토바실러스;비피도박테리움;스트렙토코커스 써모필러스,100억 CFU,"1일 1회, 1캡슐",냉장 보관;면역억제제 주의,면역결핍 환자,,안전,항생제(2시간 간격),,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0007,스파톤-레드마임업(28포),네이처스팜,미네랄,철분(천연 미네랄워터 유래);비타민C,철 5mg,1일 1포,천연 철분;위장장애 적음,철분 과다증,,안전,칼슘제,,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0008,레드마임(1포),네이처스팜,미네랄,철분(피로인산철);비타민C;엽산;비타민B12,"철 14mg, 엽산 400μg",1일 1포,빈혈 예방;여성 특화,철분 과다증,,안전,칼슘제;갑상선약,중복성분주의,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0009,엠에스엠2030,피디에이치아이엔씨,뼈·관절,MSM;글루코사민;상어연골,MSM 2000mg,"1일 1~2회, 2정",혈액희석 효과 가능,갑각류 알레르기,,미확인,와파린;항응고제,병용금기,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0010,*센트룸실버우먼(70T),화이자,비타민,비타민A;비타민B군;비타민C;비타민D;비타민E;나이아신;엽산;비오틴;칼슘;마그네슘;아연;셀레늄;크롬,종합비타민(50세이상 여성),"1일 1회, 1정, 식후",50세 이상 여성 특화,,,해당없음,와파린;갑상선약,중복성분주의,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0011,슈퍼루테인골드,비타민하우스,비타민,루테인;지아잔틴;비타민A,루테인 20mg,"1일 1회, 1캡슐",흡연자 주의(베타카로틴 포함 시),,,주의,,,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0012,뉴알티지오메가3(1통),비타민하우스,오메가,EPA;DHA;비타민E,"EPA 600mg, DHA 400mg","1일 1회, 1~2캡슐, 식후",수술 전 복용 중단;어유 알레르기 주의,어류 알레르기,,주의,와파린;아스피린;항응고제,병용금기;중복성분주의,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0013,조아눈건강(루테인/90C),(주)조아제약,비타민,루테인;지아잔틴;비타민A,루테인 20mg,"1일 1회, 1캡슐",흡연자 주의(베타카로틴 포함 시),,,주의,,,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0014,더덕 배도라지,미등록제조사,기타,더덕;배;도라지;꿀,더덕·배·도라지 추출물,1일 1~2포,기침·가래 완화;전통 건강음료,,,안전,,,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0015,유한알티지식물성오메가3,(주)서흥,오메가,EPA;DHA;비타민E,"EPA 600mg, DHA 400mg","1일 1회, 1~2캡슐, 식후",수술 전 복용 중단;어유 알레르기 주의,어류 알레르기,,주의,와파린;아스피린;항응고제,병용금기;중복성분주의,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
SUP-0016,오메가3비타민D,수입(캐나다),오메가,EPA;DHA;비타민E,"EPA 600mg, DHA 400mg","1일 1회, 1~2캡슐, 식후",수술 전 복용 중단;어유 알레르기 주의,어류 알레르기,,주의,와파린;아스피린;항응고제,병용금기;중복성분주의,직사광선 피하고 서늘한 곳,0,AI 지식 기반 조사,2026-03-11,자체조사,활성,2026-03-11T00:40:48,2026-03-11T00:40:48,제품데이터큐레이터,Y
